98	390
100	391
102	391
104	370
106	354
108	376
110	400
112	358
114	368
116	358
118	343
120	357
122	277
124	400
126	356
128	329
130	307
132	337
134	328
136	319
138	400
140	345
142	341
144	329
146	167
148	281
150	312
152	400
154	299
156	111
158	260
160	192
162	261
164	282
166	400
168	272
170	171
172	260
174	200
176	273
178	318
180	304
182	400
184	262
186	256
188	264
190	304
192	330
194	338
196	400
198	339
200	344
202	351
204	365
206	377
98	392
100	391
102	391
104	367
106	356
108	376
110	400
112	361
114	369
116	364
118	338
120	349
122	279
124	400
126	352
128	335
130	301
132	335
134	323
136	320
138	400
140	345
142	345
144	329
146	145
148	292
150	307
152	400
154	299
156	107
158	254
160	202
162	258
164	280
166	400
168	272
170	164
172	261
174	202
176	275
178	305
180	286
182	400
184	273
186	267
188	270
190	317
192	329
194	346
196	400
198	347
200	347
202	359
204	370
206	377
98	390
100	394
102	392
104	379
106	363
108	379
110	400
112	364
114	374
116	368
118	345
120	338
122	300
124	400
126	348
128	349
130	311
132	335
134	326
136	310
138	400
140	339
142	337
144	327
146	145
148	287
150	304
152	400
154	302
156	128
158	246
160	206
162	256
164	267
166	400
168	266
170	155
172	249
174	178
176	226
178	300
180	308
182	400
184	287
186	281
188	313
190	325
192	336
194	350
196	400
198	352
200	356
202	363
204	374
206	378
98	393
100	393
102	394
104	378
106	368
108	384
110	400
112	370
114	373
116	365
118	343
120	331
122	300
124	400
126	351
128	348
130	311
132	335
134	326
136	314
138	400
140	343
142	335
144	327
146	146
148	265
150	309
152	400
154	311
156	129
158	246
160	205
162	254
164	264
166	400
168	273
170	143
172	240
174	166
176	268
178	321
180	318
182	400
184	304
186	286
188	320
190	331
192	344
194	347
196	400
198	356
200	362
202	367
204	377
206	381
98	395
100	394
102	394
104	379
106	366
108	380
110	400
112	366
114	371
116	363
118	337
120	323
122	296
124	400
126	347
128	345
130	308
132	322
134	333
136	317
138	400
140	337
142	336
144	312
146	129
148	239
150	298
152	400
154	285
156	132
158	241
160	194
162	247
164	263
166	400
168	259
170	106
172	230
174	177
176	281
178	321
180	315
182	400
184	300
186	294
188	329
190	328
192	349
194	358
196	400
198	359
200	364
202	372
204	382
206	386
98	394
100	394
102	392
104	379
106	367
108	379
110	400
112	365
114	369
116	364
118	330
120	322
122	297
124	400
126	352
128	346
130	306
132	322
134	334
136	320
138	400
140	334
142	327
144	299
146	90
148	251
150	299
152	400
154	290
156	147
158	250
160	210
162	235
164	246
166	400
168	245
170	152
172	256
174	221
176	296
178	328
180	324
182	400
184	315
186	321
